"ENSEMBL","GENETYPE","SYMBOL","ENTREZID"
"ENSG00000128272","protein-coding","ATF4","468"
"ENSG00000138363","protein-coding","ATIC","471"
"ENSG00000149311","protein-coding","ATM","472"
"ENSG00000142599","protein-coding","RERE","473"
"ENSG00000172238","protein-coding","ATOH1","474"
"ENSG00000177556","protein-coding","ATOX1","475"
"ENSG00000163399","protein-coding","ATP1A1","476"
"ENSG00000018625","protein-coding","ATP1A2","477"
"ENSG00000105409","protein-coding","ATP1A3","478"
"ENSG00000075673","protein-coding","ATP12A","479"
"ENSG00000132681","protein-coding","ATP1A4","480"
"ENSG00000143153","protein-coding","ATP1B1","481"
"ENSG00000129244","protein-coding","ATP1B2","482"
"ENSG00000069849","protein-coding","ATP1B3","483"
"ENSG00000137731","protein-coding","FXYD2","486"
"ENSG00000196296","protein-coding","ATP2A1","487"
"ENSG00000174437","protein-coding","ATP2A2","488"
"ENSG00000074370","protein-coding","ATP2A3","489"
"ENSG00000070961","protein-coding","ATP2B1","490"
"ENSG00000157087","protein-coding","ATP2B2","491"
"ENSG00000067842","protein-coding","ATP2B3","492"
"ENSG00000058668","protein-coding","ATP2B4","493"
"ENSG00000105675","protein-coding","ATP4A","495"
"ENSG00000186009","protein-coding","ATP4B","496"
"ENSG00000152234","protein-coding","ATP5F1A","498"
"ENSG00000164904","protein-coding","ALDH7A1","501"
"ENSG00000110955","protein-coding","ATP5F1B","506"
"ENSG00000231635","pseudo","ATP5F1BP1","507"
"ENSG00000165629","protein-coding","ATP5F1C","509"
"ENSG00000099624","protein-coding","ATP5F1D","513"
"ENSG00000124172","protein-coding","ATP5F1E","514"
"ENSG00000116459","protein-coding","ATP5PB","515"
"ENSG00000159199","protein-coding","ATP5MC1","516"
"ENSG00000135390","protein-coding","ATP5MC2","517"
"ENSG00000154518","protein-coding","ATP5MC3","518"
"ENSG00000169020","protein-coding","ATP5ME","521"
"ENSG00000154723","protein-coding","ATP5PF","522"
"ENSG00000114573","protein-coding","ATP6V1A","523"
"ENSG00000116039","protein-coding","ATP6V1B1","525"
"ENSG00000147416","protein-coding","ATP6V1B2","526"
"ENSG00000185883","protein-coding","ATP6V0C","527"
"ENSG00000155097","protein-coding","ATP6V1C1","528"
"ENSG00000131100","protein-coding","ATP6V1E1","529"
"ENSG00000117410","protein-coding","ATP6V0B","533"
"ENSG00000213760","protein-coding","ATP6V1G2","534"
"ENSG00000234920","protein-coding","ATP6V1G2","534"
"ENSG00000226850","protein-coding","ATP6V1G2","534"
"ENSG00000227587","protein-coding","ATP6V1G2","534"
"ENSG00000230900","protein-coding","ATP6V1G2","534"
"ENSG00000234668","protein-coding","ATP6V1G2","534"
"ENSG00000206445","protein-coding","ATP6V1G2","534"
"ENSG00000033627","protein-coding","ATP6V0A1","535"
"ENSG00000071553","protein-coding","ATP6AP1","537"
"ENSG00000165240","protein-coding","ATP7A","538"
"ENSG00000241837","protein-coding","ATP5PO","539"
"ENSG00000123191","protein-coding","ATP7B","540"
"ENSG00000251400","pseudo","ALDH7A1P1","541"
